acuracia,precisao,recall,f1,roc_auc,base,algoritmo,parametrizacao,tempo_treino_s,n_features,n_treino,n_teste
0.8731884057971014,0.8881578947368421,0.8823529411764706,0.8852459016393442,0.9122163770657314,heart,knn,k=3 (uniforme),0.0,21,642,276
0.8804347826086957,0.9,0.8823529411764706,0.8910891089108911,0.9412827461607949,heart,knn,k=11 (ponderado por distância),0.0,21,642,276
0.8369565217391305,0.8417721518987342,0.869281045751634,0.8553054662379421,0.8603007598703438,heart,arvore,"gini, profundidade=5",0.0,11,642,276
0.8115942028985508,0.8482758620689655,0.803921568627451,0.825503355704698,0.8815027365959933,heart,arvore,"entropy, profundidade ilimitada",0.0,11,642,276
0.8514492753623188,0.868421052631579,0.8627450980392157,0.8655737704918033,0.9165205377543972,heart,mlp,1 camada oculta (50),0.33,21,642,276
0.8297101449275363,0.8785714285714286,0.803921568627451,0.8395904436860068,0.8836282480471863,heart,mlp,"2 camadas ocultas (100,50)",0.63,21,642,276
0.9553236375856468,0.8892065761258041,0.8361151562675031,0.8618440043877375,0.9510603402895748,fraude,knn,k=3 (uniforme),0.21,280,124979,53563
0.9580307301682132,0.9115218730745533,0.8286098353310183,0.8680905996948715,0.9717069170031082,fraude,knn,k=11 (ponderado por distância),0.21,280,124979,53563
0.9359632582192932,0.8537778349851975,0.7430267727119974,0.7945615716339243,0.9269259415465886,fraude,arvore,"gini, profundidade=5",0.2,6,124979,53563
0.9555103336258238,0.8854853911404336,0.841940181471939,0.8631639391329314,0.9497797566310195,fraude,arvore,"entropy, profundidade ilimitada",0.39,6,124979,53563
0.9677575938614342,0.9163775156141568,0.8875322056681976,0.901724236043931,0.9902615375764509,fraude,mlp,1 camada oculta (50),128.51,280,124979,53563
0.9637249593936112,0.8902548055431382,0.8923490534334043,0.8913006993006993,0.9875288774007307,fraude,mlp,"2 camadas ocultas (100,50)",114.4,280,124979,53563
